day,plate,descrip,conc,rep,od
1,1,BLANK,0,1,0.285333333333333
1,1,BLANK,0,2,0.295
1,1,QC,9.75,1,0.341333333333333
1,1,QC,9.75,2,0.319666666666667
1,1,QC,13,1,0.358666666666667
1,1,QC,13,2,0.347666666666667
1,1,QC,19.5,1,0.399
1,1,QC,19.5,2,0.391666666666667
1,1,QC,39.1,1,0.48
1,1,QC,39.1,2,0.504
1,1,QC,78.125,1,0.657666666666667
1,1,QC,78.125,2,0.676
1,1,QC,156.25,1,1.01
1,1,QC,156.25,2,1.068
1,1,QC,312.5,1,1.911
1,1,QC,312.5,2,1.96166666666667
1,1,Standard,2.048,1,0.318666666666667
1,1,Standard,2.048,2,0.288
1,1,Standard,5.12,1,0.336666666666667
1,1,Standard,5.12,2,0.335666666666667
1,1,Standard,12.8,1,0.375333333333333
1,1,Standard,12.8,2,0.358666666666667
1,1,Standard,32,1,0.462
1,1,Standard,32,2,0.468
1,1,Standard,80,1,0.714333333333333
1,1,Standard,80,2,0.748333333333333
1,1,Standard,200,1,1.38933333333333
1,1,Standard,200,2,1.35033333333333
1,1,Standard,500,1,2.75466666666667
1,1,Standard,500,2,2.58033333333333
1,2,BLANK,0,1,0.350333333333333
1,2,BLANK,0,2,0.327333333333333
1,2,QC,9.75,1,0.516666666666667
1,2,QC,9.75,2,0.382333333333333
1,2,QC,13,1,0.401666666666667
1,2,QC,13,2,0.398666666666667
1,2,QC,19.5,1,0.435666666666667
1,2,QC,19.5,2,0.457666666666667
1,2,QC,39.1,1,0.558333333333333
1,2,QC,39.1,2,0.531
1,2,QC,78.125,1,0.764333333333333
1,2,QC,78.125,2,0.807333333333333
1,2,QC,156.25,1,1.13
1,2,QC,156.25,2,1.12566666666667
1,2,QC,312.5,1,1.92
1,2,QC,312.5,2,1.896
1,2,Standard,2.048,1,0.322333333333333
1,2,Standard,2.048,2,0.316333333333333
1,2,Standard,5.12,1,0.332666666666667
1,2,Standard,5.12,2,0.343
1,2,Standard,12.8,1,0.388
1,2,Standard,12.8,2,0.407
1,2,Standard,32,1,0.505
1,2,Standard,32,2,0.55
1,2,Standard,80,1,0.804
1,2,Standard,80,2,0.757333333333333
1,2,Standard,200,1,1.416
1,2,Standard,200,2,1.37266666666667
1,2,Standard,500,1,2.70366666666667
1,2,Standard,500,2,2.66866666666667
2,3,BLANK,0,1,0.357
2,3,BLANK,0,2,0.371666666666667
2,3,QC,9.75,1,0.431666666666667
2,3,QC,9.75,2,0.399666666666667
2,3,QC,13,1,0.434333333333333
2,3,QC,13,2,0.458666666666667
2,3,QC,19.5,1,0.484
2,3,QC,19.5,2,0.506333333333333
2,3,QC,39.1,1,0.635666666666667
2,3,QC,39.1,2,0.601
2,3,QC,78.125,1,0.811
2,3,QC,78.125,2,0.856
2,3,QC,156.25,1,1.29966666666667
2,3,QC,156.25,2,1.289
2,3,QC,312.5,1,2.34533333333333
2,3,QC,312.5,2,2.11566666666667
2,3,Standard,2.048,1,0.362333333333333
2,3,Standard,2.048,2,0.392666666666667
2,3,Standard,5.12,1,0.343666666666667
2,3,Standard,5.12,2,0.345666666666667
2,3,Standard,12.8,1,0.442
2,3,Standard,12.8,2,0.474333333333333
2,3,Standard,32,1,0.587
2,3,Standard,32,2,0.601
2,3,Standard,80,1,0.855
2,3,Standard,80,2,0.870333333333333
2,3,Standard,200,1,1.41466666666667
2,3,Standard,200,2,1.62233333333333
2,3,Standard,500,1,3.03233333333333
2,3,Standard,500,2,3.22933333333333
2,4,BLANK,0,1,0.336666666666667
2,4,BLANK,0,2,0.334
2,4,QC,9.75,1,0.403666666666667
2,4,QC,9.75,2,0.425
2,4,QC,13,1,0.408333333333333
2,4,QC,13,2,0.403333333333333
2,4,QC,19.5,1,0.422333333333333
2,4,QC,19.5,2,0.448333333333333
2,4,QC,39.1,1,0.516
2,4,QC,39.1,2,0.546
2,4,QC,78.125,1,0.776
2,4,QC,78.125,2,0.737666666666667
2,4,QC,156.25,1,1.17366666666667
2,4,QC,156.25,2,1.19233333333333
2,4,QC,312.5,1,2.16333333333333
2,4,QC,312.5,2,2.051
2,4,Standard,2.048,1,0.289
2,4,Standard,2.048,2,0.328
2,4,Standard,5.12,1,0.37
2,4,Standard,5.12,2,0.371666666666667
2,4,Standard,12.8,1,0.397
2,4,Standard,12.8,2,0.410333333333333
2,4,Standard,32,1,0.499
2,4,Standard,32,2,0.498
2,4,Standard,80,1,0.824
2,4,Standard,80,2,0.795333333333333
2,4,Standard,200,1,1.38966666666667
2,4,Standard,200,2,1.57866666666667
2,4,Standard,500,1,2.66466666666667
2,4,Standard,500,2,2.826
