run,conc,rep,dod
1,0.34,1,1.58
1,0.34,2,2.23
1,0.34,3,4.33
1,0.69,1,6.63
1,0.69,2,10.23
1,0.69,3,6.38
1,1.38,1,11.48
1,1.38,2,22.48
1,1.38,3,16.08
1,2.75,1,38.38
1,2.75,2,47.58
1,2.75,3,38.28
1,5.5,1,60.08
1,5.5,2,83.38
1,5.5,3,57.03
1,11,1,93.28
1,11,2,116.73
1,11,3,74.48
1,22,1,114.93
1,22,2,138.68
1,22,3,88.63
2,0.34,1,2.4
2,0.34,2,4.05
2,0.34,3,2.9
2,0.69,1,5.3
2,0.69,2,7.4
2,0.69,3,7.2
2,1.38,1,13.2
2,1.38,2,21.65
2,1.38,3,23.6
2,2.75,1,28.35
2,2.75,2,45.1
2,2.75,3,72.65
2,5.5,1,50.05
2,5.5,2,71.15
2,5.5,3,81.9
2,11,1,64.5
2,11,2,99.45
2,11,3,91
2,22,1,85.7
2,22,2,113.5
2,22,3,107.6
3,0.34,1,1.73
3,0.34,2,2.83
3,0.34,3,2.33
3,0.69,1,6.78
3,0.69,2,6.73
3,0.69,3,2.98
3,1.38,1,11.13
3,1.38,2,15.08
3,1.38,3,11.98
3,2.75,1,22.73
3,2.75,2,32.73
3,2.75,3,29.83
3,5.5,1,55.58
3,5.5,2,56.38
3,5.5,3,47.18
3,11,1,58.68
3,11,2,75.93
3,11,3,77.08
3,22,1,72.28
3,22,2,102.03
3,22,3,87.98
4,0.34,1,2.03
4,0.34,2,1.98
4,0.34,3,3.33
4,0.69,1,3.73
4,0.69,2,5.73
4,0.69,3,7.38
4,1.38,1,9.18
4,1.38,2,16.63
4,1.38,3,17.98
4,2.75,1,20.13
4,2.75,2,24.43
4,2.75,3,30.98
4,5.5,1,55.43
4,5.5,2,90.43
4,5.5,3,98.28
4,11,1,83.48
4,11,2,90.68
4,11,3,103.28
4,22,1,85.93
4,22,2,95.73
4,22,3,99.98
5,0.34,1,0.66
5,0.34,2,1.27
5,0.34,3,1.92
5,0.69,1,2.12
5,0.69,2,4.02
5,0.69,3,5.67
5,1.38,1,6.57
5,1.38,2,10.52
5,1.38,3,11.77
5,2.75,1,13.87
5,2.75,2,22.72
5,2.75,3,26.52
5,5.5,1,33.82
5,5.5,2,60.47
5,5.5,3,48.97
5,11,1,46.37
5,11,2,56.17
5,11,3,60.22
5,22,1,37.67
5,22,2,54.27
5,22,3,62.17
6,0.34,1,2.58
6,0.34,2,2.63
6,0.34,3,2.38
6,0.69,1,4.63
6,0.69,2,9.23
6,0.69,3,8.63
6,1.38,1,14.83
6,1.38,2,22.58
6,1.38,3,20.93
6,2.75,1,33.43
6,2.75,2,60.38
6,2.75,3,52.68
6,5.5,1,60.88
6,5.5,2,111.53
6,5.5,3,104.23
6,11,1,97.93
6,11,2,135.78
6,11,3,153.73
6,22,1,100.58
6,22,2,164.93
6,22,3,176.23
7,0.34,1,1.98
7,0.34,2,2.53
7,0.34,3,2.53
7,0.69,1,1.28
7,0.69,2,5.28
7,0.69,3,5.08
7,1.38,1,10.68
7,1.38,2,15.58
7,1.38,3,22.38
7,2.75,1,27.28
7,2.75,2,41.28
7,2.75,3,48.23
7,5.5,1,50.58
7,5.5,2,90.08
7,5.5,3,75.93
7,11,1,79.93
7,11,2,121.73
7,11,3,124.73
7,22,1,71.73
7,22,2,117.03
7,22,3,116.78
8,0.34,1,3.53
8,0.34,2,2.68
8,0.34,3,1.18
8,0.69,1,5.48
8,0.69,2,5.23
8,0.69,3,5.43
8,1.38,1,9.23
8,1.38,2,14.48
8,1.38,3,12.28
8,2.75,1,23.83
8,2.75,2,25.98
8,2.75,3,34.03
8,5.5,1,47.43
8,5.5,2,61.73
8,5.5,3,71.08
8,11,1,55.63
8,11,2,69.58
8,11,3,67.88
8,22,1,68.08
8,22,2,90.18
8,22,3,86.68
9,0.34,1,2.53
9,0.34,2,2.18
9,0.34,3,1.88
9,0.69,1,6.08
9,0.69,2,5.58
9,0.69,3,4.73
9,1.38,1,10.58
9,1.38,2,15.88
9,1.38,3,13.78
9,2.75,1,28.93
9,2.75,2,35.23
9,2.75,3,33.43
9,5.5,1,63.63
9,5.5,2,92.28
9,5.5,3,69.33
9,11,1,61.43
9,11,2,66.53
9,11,3,80.28
9,22,1,81.38
9,22,2,101.53
9,22,3,90.68
